config,action
[ 75  50 800 300],2
[ 80  50 800 300],4
[ 75  50 800 300],4
[ 70  50 800 300],4
[ 65  50 800 300],4
[ 60  50 800 300],4
[ 55  50 800 300],4
[ 50  50 800 300],4
[ 45  50 800 300],4
[ 40  50 800 300],4
[ 35  50 800 300],4
[ 30  50 800 300],3
[ 30  55 800 300],3
[ 30  60 800 300],3
[ 30  65 800 300],3
[ 30  70 800 300],3
[ 30  75 800 300],3
[ 30  80 800 300],3
[ 30  85 800 300],3
[ 30  90 800 300],3
[ 30  95 800 300],3
[ 30 100 800 300],3
[ 30 105 800 300],3
[ 30 110 800 300],3
[ 30 115 800 300],3
[ 30 120 800 300],3
[ 30 125 800 300],3
[ 30 130 800 300],3
[ 30 135 800 300],3
[ 30 140 800 300],3
[ 30 145 800 300],3
[ 30 150 800 300],3
[ 30 155 800 300],3
[ 30 160 800 300],3
[ 30 165 800 300],3
[ 30 170 800 300],3
[ 30 175 800 300],3
[ 30 180 800 300],3
[ 30 185 800 300],3
[ 30 190 800 300],3
[ 30 195 800 300],3
[ 30 200 800 300],3
[ 30 205 800 300],3
[ 30 210 800 300],3
[ 30 215 800 300],3
[ 30 220 800 300],3
[ 30 225 800 300],3
[ 30 230 800 300],3
[ 30 235 800 300],3
[ 30 240 800 300],3
[ 30 245 800 300],3
[ 30 250 800 300],3
[ 30 255 800 300],3
[ 30 260 800 300],3
[ 30 265 800 300],3
[ 30 270 800 300],3
[ 30 275 800 300],3
[ 30 280 800 300],3
[ 30 285 800 300],3
[ 30 290 800 300],3
[ 30 295 800 300],3
[ 30 300 800 300],3
[ 30 305 800 300],3
[ 30 310 800 300],3
[ 30 315 800 300],3
[ 30 320 800 300],3
[ 30 325 800 300],3
[ 30 330 800 300],2
[ 35 330 800 300],2
[ 40 330 800 300],2
[ 45 330 800 300],2
[ 50 330 800 300],2
[ 55 330 800 300],2
[ 60 330 800 300],2
[ 65 330 800 300],2
[ 70 330 800 300],2
[ 75 330 800 300],2
[ 80 330 800 300],2
[ 85 330 800 300],2
[ 90 330 800 300],2
[ 95 330 800 300],2
[100 330 800 300],2
[105 330 800 300],2
[110 330 800 300],2
[115 330 800 300],2
[120 330 800 300],2
[125 330 800 300],2
[130 330 800 300],2
[135 330 800 300],2
[140 330 800 300],2
[145 330 800 300],2
[150 330 800 300],2
[155 330 800 300],2
[160 330 800 300],2
[165 330 800 300],2
[170 330 800 300],2
[175 330 800 300],2
[180 330 800 300],2
[185 330 800 300],1
[185 325 800 300],1
[185 320 800 300],1
[185 315 800 300],1
[185 310 800 300],1
[185 305 800 300],1
[185 300 800 300],1
[185 295 800 300],1
[185 290 800 300],1
[185 285 800 300],1
[185 280 800 300],1
[185 275 800 300],2
[190 275 800 300],2
[195 275 800 300],2
[200 275 800 300],2
[205 275 800 300],2
[210 275 800 300],2
[215 275 800 300],2
[220 275 800 300],2
[225 275 800 300],2
[230 275 800 300],2
[235 275 800 300],2
[240 275 800 300],2
[245 275 800 300],2
[250 275 800 300],2
[255 275 800 300],2
[260 275 800 300],2
[265 275 800 300],2
[270 275 800 300],2
[275 275 800 300],2
[280 275 800 300],2
[285 275 800 300],2
[290 275 800 300],2
[295 275 800 300],2
[300 275 800 300],2
[305 275 800 300],2
[310 275 800 300],2
[315 275 800 300],2
[320 275 800 300],2
[325 275 800 300],3
[325 280 800 300],3
[325 285 800 300],3
[325 290 800 300],3
[325 295 800 300],3
[325 300 800 300],3
[325 305 800 300],3
[325 310 800 300],3
[325 315 800 300],3
[325 320 800 300],3
[325 325 800 300],3
[325 330 800 300],3
[325 335 800 300],3
[325 340 800 300],3
[325 345 800 300],3
[325 350 800 300],3
[325 355 800 300],3
[325 360 800 300],3
[325 365 800 300],3
[325 370 800 300],3
[325 375 800 300],3
[325 380 800 300],3
[325 385 800 300],3
[325 390 800 300],3
[325 395 800 300],3
[325 400 800 300],3
[325 405 800 300],3
[325 410 800 300],3
[325 415 800 300],3
[325 420 800 300],3
[325 425 800 300],3
[325 430 800 300],3
[325 435 800 300],3
[325 440 800 300],3
[325 445 800 300],2
[330 445 800 300],2
[335 445 800 300],2
[340 445 800 300],2
[345 445 800 300],2
[350 445 800 300],2
[355 445 800 300],2
[360 445 800 300],2
[365 445 800 300],2
[370 445 800 300],2
[375 445 800 300],2
[380 445 800 300],2
[385 445 800 300],2
[390 445 800 300],2
[395 445 800 300],2
[400 445 800 300],2
[405 445 800 300],2
[410 445 800 300],2
[415 445 800 300],2
[420 445 800 300],2
[425 445 800 300],2
[430 445 800 300],2
[435 445 800 300],2
[440 445 800 300],2
[445 445 800 300],2
[450 445 800 300],2
[455 445 800 300],2
[460 445 800 300],2
[465 445 800 300],2
